Graph,Algorithm,Nodes,Edges,Terminals,Expected cost,Steiner tree cost,Absolute error,Relative error (%),Runtime (s),Validated
D07,KMB Basic,1000,2000,10,103,126,23,22.330097087378633,0.07743167877197266,True
D07,KMB Full,1000,2000,10,103,105,2,1.9417475728155331,0.07827639579772949,True
D07,Simple 11/6 Basic,1000,2000,10,103,124,21,20.388349514563096,3.580644369125366,True
D07,Simple 11/6 Basic w/ zeroing contraction,1000,2000,10,103,110,7,6.796116504854366,3.7358222007751465,True
D07,Simple 11/6 Full,1000,2000,10,103,120,17,16.50485436893203,3.8307008743286133,True
D07,Simple 11/6 Full w/ zeroing contraction,1000,2000,10,103,105,2,1.9417475728155331,4.200114965438843,True
D11,KMB Basic,1000,5000,5,29,32,3,10.344827586206895,0.03718233108520508,True
D11,KMB Full,1000,5000,5,29,31,2,6.896551724137923,0.03839850425720215,True
D11,Simple 11/6 Basic,1000,5000,5,29,31,2,6.896551724137923,5.09409761428833,True
D11,Simple 11/6 Basic w/ zeroing contraction,1000,5000,5,29,31,2,6.896551724137923,5.533807277679443,True
D11,Simple 11/6 Full,1000,5000,5,29,31,2,6.896551724137923,7.043756723403931,True
D11,Simple 11/6 Full w/ zeroing contraction,1000,5000,5,29,30,1,3.4482758620689724,5.776490211486816,True
D12,KMB Basic,1000,5000,10,42,47,5,11.904761904761907,0.14565324783325195,True
D12,KMB Full,1000,5000,10,42,42,0,0.0,0.14458799362182617,True
D12,Simple 11/6 Basic,1000,5000,10,42,43,1,2.3809523809523725,6.68699836730957,True
D12,Simple 11/6 Basic w/ zeroing contraction,1000,5000,10,42,43,1,2.3809523809523725,5.3775553703308105,True
D12,Simple 11/6 Full,1000,5000,10,42,42,0,0.0,5.362135887145996,True
D12,Simple 11/6 Full w/ zeroing contraction,1000,5000,10,42,42,0,0.0,5.412096977233887,True
D16,KMB Basic,1000,25000,5,13,16,3,23.076923076923084,0.17244243621826172,True
D16,KMB Full,1000,25000,5,13,15,2,15.384615384615374,0.20580554008483887,True
